full_text;
"@thekuxell Benar..pdhl sdh bnyk yg memberitakan klo ini bkn konflik agama...tp genosida... seluruh rakyat Palestina dr Islam,Kristen bhkn Yahudi asli Palestina jg d genosida..🤧"";_d_9_put";
Indonesia bersama negara-negara OKI mendesak DK PBB agar bertindak lebih tegas dalam mengatasi konflik Israel dan kelompok pejuang kemerdekaan Palestina Hamas;
@Lopasarah242583 @GGGBoxng Ga bakal diam dajal itu  ma yang penting goreng terus keyakinan orang Islam;
ini;
@LoudMinorities @lindut_jeje @visegrad24 baru ngikutin perihal konfliknya sekarang ya ? pantesan ga tau brp banyak korban dari pihak palestina;
@Harsarchjazz1 @hariankompas Gw bingung sebenarnya lu itu warga palestina atau Indonesia sih.   Aset negara yg dibiayai pajak dari warga Indonesia masak dihabiskan untuk konflik yg tidak ada untungnya buat kita dan justru cari musuh.  Okelah kalau buat misi kemanusiaan;
@dawiguna @visegrad24 @Valhallaah Logika buat konflik palestina aja ga nyampe;
Ganjar pranowo mendorong two state solution sebagai upaya menghentikan konflik  palestina dan israel  #GanjarDenganRakyatNKRI https://t.co/93ez9a520N;_cakalang_
@jangandiaa @Evolusimuda @EmbrioPertamax @tanyakanrl Kaj pertama negara arab itu buka cuma suadi;
@lalunaattiree @Evolusimuda @EmbrioPertamax @tanyakanrl Ngga paham lagi deh ngaco banget;
Orang ini caleg dari PSI dan terang2an mengaminkan propaganda Israel yg bahkan udah didelete.   Ya kita harus minta kejelasan @psi_id tentang posisi partai mereka di konflik Israel dan Palestina. Kalo ternyata sejalan pro Israel;
Itulah kenapa konflik Israel-Palestina ini rumit;
@SusilawatiSisi2 Konflik Palestina Israel itu dimulai bukan Saat Hamas berdiri tahun 1997 tapi Saat Israel mendeklarasikan negara dengan pengusiran  jutaan rakyat Palestina yang dikenal dengan Nakbah 1948;MelintasGlobal
@detikcom Politisasi palestina untuk pencapresan;
"Yang masih menganggap urusan Palestina - penjajah #Israel hanya konflik tanah"".  Cukup lihat penistaan pada kaum Muslimin di Negeri Anbiyaa ini.  Palestina urusan akidah &amp  iman, istighfar sbl hati ditutup Allah   ⁦  @TRTArabi @sahabatalaqsha  #IsraelWarCrime #JulidFiSabilillah https://t.co/NDRyuWzwTM"";hidcom";
Ganjar dorong two state solution jadi solusi atasi konflik israel palestina https://t.co/9qK5r6s5AJ;mimicutiiee
Mungkin gw bakal ambil 1 solusi untuk konflik Israel-Palestina ini.  Cabut status kenegaraan dua negara ini. Let their get theiw own sh*t together sampai ga ada sipil yg dikorbankan lg;JackMoon_MikeAK
#BreakingNews | Demo besar-besaran pemukim yahudi penjajah israel di Tel Aviv menuntut agar dilakukan pertukaran tawanan dengan pejuang Palestina dan pembebasan tawanan penjajah israel;
@Avolanza Konflik ini terlalu kejam;
@LoudMinorities @OfflsenDenise @visegrad24 Dar jaman soekarno sampe jokowi selalu dukung kemerdekaan palestina  Ini adalah sikap negara atas konflik yg tjd  Klo berbeda... Silakan keluar nkri ya 🙏🏻;law4npenipu4n
@DodyIrwanto8 @miracloe_ @dawiguna @visegrad24 @Valhallaah Ini malah ngelantur kemana2. Baca tweet sy lagi.  Penduduk asli di wil. konflik Israel Palestina itu termsk Yahudi juga.   Apa hubungannya dg budak &amp  koloni;
@detikcom Lu datang ke Palestina buat apaan? Jijik amat cara kampanyenya.. jualan konflik.;nakama_02
Dari peristiwa konflik israel dan palestina. Saya mencoba belajar;
@berlind__ @sore5723 @LoudMinorities @Daniel_d76 Ko kalau mau bahas pembantaian di Indonesia sendiri ada kasus genosida warga Timor timor pas masa orde baru. Berakhir Kan genosida nya? Ada penyelesaian kan? Lah konflik Palestina ini tujuannya disuarakan gini biar ada penyelesaian karena Uda terlalu panjang penjajahan nya;nuril_asrina
@daretokwanzio @PineksoRoyi1 Dua ganda sekali anda gua jg ragu apakah anda benar benar peduli ke negara konflik lain kalau mereka terpaksa harus ngungsi. Apa nanti kalau warga Palestina harus pergi dan mereka nakal lu marahin mereka semua jg?;worldtalk_
@Greschinov Zionis lokal;
@ElsebethYNWA Begge sider er hæslige. En del af det offentlige holder med terrorister i Palestina og regeringen holder med terrorister i Israel.   For den almindlige dansker burde den konflik være ret ligegyldig. Man burde ikke stytte en side her.;GhostyGhost1337
@ssefnum menurutmu;
Bupati Luwu Utara / Ketua PMI Kab. Luwu Utara Indah Putri Indriani menerima dan menyalurkan Donasi Kemanusiaan sebesar Rp 338.717.500 dari Masyarakat Luwu Utara melalui PMI Kab. Utara kepada PMI Pusat untuk membantu saudara-saudara kita yang terdampak konflik di Gaza;
@miracloe_ @dawiguna @visegrad24 @Valhallaah Penjajahan di RI itu beda ama konflik Israel-Palestina.  Yang menjajah Indonesia dulu itu slh 1nya Belanda yg sengaja datang ke Indonesia untuk menjajah. Sedangkan di wilayah konflik tersebut udh ada Yahudi yang terlahir di sana “bersamaan dg org Palestina. (1).;danisiapa
@SammiSoh Culture enhancers itu lebih tepatnya adalah imigran gelap dari 3rd world countries;
@Greschinov @psi_id @kaesangp  sikap Indonesia terhadap konflik Palestina-Israel ini sudah jelas;
@Greschinov Ini beneran goblok sih menurut gw. Lu lagi nyaleg dan kondisi konflik Israel-Palestina lagi panas2nya dan lu malah ambil posisi yg dibenci rakyat Indonesia. Siap2 aja anjeng dihujat kalo gini mah. 🤣;fitsa_ranger
@DeHoutman_id Opini ini cuma dilihat dari tanggal 7 oktober;
Ketiga di #OpenmicPekalongan malam ini;
"LIBORIO FF dan WETOPA Bekerjasama untuk mengajak berdonasi kemanusiaan tentang konflik digaza palestina, jika anda membeli tumbler LIBORIO FF FOR PALESTINE"" donasi akan kami amalkan ke Lembaga terpercaya🙏🏼"";LIBORIO_FF";
@MrHidayatSyariv @anton_harjo @satriarafisky @tanyarlfes HI mana... Halu Internasional kali... Sudah berapa orang yg bawa2 jurusan ini buat pembenaran negara haram Israel. Lu tau gak ilmu itu gak guna buat konflik Israel - Palestina. Omong kosong semua teorinya... Mana ada disiplin ilmu yang membenarkan penjajahan blog!;Balistta
Pertama di #OpenmicPekalongan malam ini;
@lil_4m klo dulu kaum Yahudi yg beli tanah ga diusik;
Sesi ini membahas Penanganan Konflik dlm Politik Luar Negeri Indonesia di Era Jokowi: Palestina-Israel;
Tak boleh masuk ke #MasjidilAqsha!   Tolong perlihatkan kpd mereka yg menganggap urusan Palestina - ‘Israel’ hanya konflik tanah. Kalau tak ada amarah di hati mereka melihat penistaan thdp kaum Muslimin di Negeri Anbiyaa ini;
@awank2017 goblog kau;
iya bener gua egois;
@detikcom Sejauh mana Palestina yang independen tidak mencederai kesejahteraan Israel? Kalo ada tokoh Indonesia yang bisa mengutarakan ide baru terkait konflik ini ya kenapa nggak;
Hi guys! 👋 Dalam rangka merayakan #TVXQ20thAnniversary;
Konflik yang baru saja terjadi antara tentara Israel dengan warga Palestina #الهلال_النصر  #Israel akan musnah https://t.co/K0H52HeCB4;jasmine_jelita7
@tanyarlfes awal mula konflik palestina istahell karna baik ya dikasih eh abis itu minta lebih;atlas010201
Konflik Palestina tidak akan pernah selesai dengan solusi dua negara hanya akan sesuai dengan jihad fisabilillah #SavePalestine #ArmiesToAqsa;pejuang10_N
Lihat konflik palestina-Israel kok fokusnya cuma 7 Oct;
Gencatan senjata selalu menjadi solusi atas konflik Palestina;
Ganjar mendorong two state solution sebagai upaya menghentikan konflik palestina dan israel. #GanjarKebhinekaanNKRI https://t.co/n2uJok88kX;NKRIBerbicara
Terkait informasi daftar merek produk² yang diduga berafiliasi dengan pihak yang terlibat konflik Palestina;
Para pekerja yg menggantungkan nafkah pada perusahaan² yg diduga terafiliasi dgn pihak yg terlibat konflik di Palestina bisa terancam kehilangan pekerjaan.   Utk itu sdh sepantasnya pemerintah turun tangan memberikan perlindungan utk kepentingan nasional. https://t.co/iltaoTXVol;vita_AVP
Tulisan ini berisi tentang konflik Israel dengan Palestina yang dimana Israel telah diduga melakukan pelanggaran Internasional https://t.co/4ngpi2MJRY;retizen_id
@suneo1022 @Been4Q59 Susah masih ada konflik internal di Palestina sendiri.;Natasyaputri433
Ini bkn hanya soal Palestina;
@Toha_ART Palestina sendiri masih ada konflik internal;Natasyaputri433
Badai Al-Aqsa Ditulis oleh: Ahmed Mansour  Saya mungkin cukup optimis jika saya mengatakan bahwa badai Al-Aqsa mungkin menjadi perang terakhir antara perlawanan Palestina dan Israel;
Ganjar pranowo mendorong two state solution sebagai upaya menghentikan konflik Palestina dan Israel #GanjarKebhinekaanNKRI https://t.co/Ic6dMtJDHl;AzizLaheut
@wiratamiang @ekakunjeri gak ada yang mempermasalahkan haram halalnya mau jualan dengan riding the wave konflik Palestina Israel. hanya di masalah etika saja si.;AlfaWijayanto
Ganjar Pranowo tegaskn two state solution merupakn salah satu upaya yg bisa dilakukn utk mnghentikn konflikPalestina dan Israel.  Ganjar katakan dgn politik Indonesia yg bebas aktif maka hrs ada special envoy atau utusan khusus utk bisa brkomunikasi dgn PBB dlm atasi mslh ini. https://t.co/x048pkAJbS;PenegakKebena13
@Marchfoward untuk lebih memahami konflik di Palestina;
Kepala Biro PSD dan Kerjasama Palang Merah Indonesia (PMI) Hasiando P.R. menerima donasi dari SPE Java Indonesia sebesar 14 juta bagi masyarakat terdampak konflik di Gaza;
Israel vs Palestina itu bukan pertandingan sepakbola. Jd sebagai manusia yg berakal anda tidak diharuskan mendukung atau menjadi suporter dari masing² kubu demi memuaskan hasrat anda akan menang atau kalah. Konflik ini (alangkah bijaknya) harus dilihat dari kacamata kemanusiaan;yusuf_anggrian
Konflik Palestina ada dalam Mimpi Muhammad Qasim Cek🔽 https://t.co/8RORCXtfCc;Amrullah_Tamim
Jadi ya buat gw sederhana: pernyataan menyebut yg terjadi di Palestina sebagai BUKAN konflik berbasis SARA;
Agenda normalisasi itu jelas. Bukan rahasia dan bukan barang baru;
@CNNIndonesia iya ibaratnya ketika ada konflik Palestina-Israel;
Ganjar Pranowo mendorong two state solution sebagai upaya menghentikan konflik Palestina-Israel  #GanjarKebhinekaanNKRI https://t.co/dY6966yIo0;Geymer42751530
"@WawCendol @SammiSoh Jadi persoalan/konflik di Gaza dan Palestina itu soal agama toh? Kemarin ada slogan Tidak harus menjadi muslim untuk bela Palestina, cukup jadi Manusia"" Katanya bhinekatunggalika, tapi belum pernah ada gerakan #SAVE_Gereja https://t.co/dwsQCvgun6"";SkeptisU";
@EGreschinov Tidak berhubungan dengan konflik Isriwil dgn Palestina tapi mohon bantuannya. 🥺🙏🏽 https://t.co/HsjnKETF62;firmannasaru
Asep rela datang jauh-jauh dari Cirebon ke acara munajat kubro PA 212 di Monas karena hatinya tergerak dengan konflik di Palestina. https://t.co/na22tDFOI8;kompascom
Keterlibatan Konflik Gaza-Israel terhadap Pendidikan Generasi Muda Palestina: Tantangan dan Harapan untuk Pembangunan Masa Depan yang Berkelanjutan https://t.co/2Au16sf3qM;retizen_id
Pasukan Israel kembali menyerang Gaza;
@kakagantengg @DeHoutman_id Palestina bukan hanya islam lho....Apa kabar Hohingya;
Yunis kembali menjadi sasaran serangan udara yang mematikan. Semoga konflik ini segera berakhir dan kedamaian kembali menghampiri Palestina.;ilyanatishiaaa3
🇵🇸🇮🇱 Conflict Update  Seri #Pengetahuan  🚨Mantan President Amerika Mengatakan Bahwa Yang Terjadi di Palestina adalah Penganiyayaan Terhadap Hak Asasi Manusia yang Mengerikan‼️  Wawancara dengan Ex President United States of America mengenai Konflik #Palestine - #Israel.… https://t.co/RjiakbtPeK;Avolanza
@SammiSoh Ayo juga kita heran bersama;
Buat teman-teman yang lagi bingung soal satire boikot produk;
Lantas ketika beberapa bulan terakhir konflik Palestina Israel kembali menarik perhatian publik;
Pasukan Israel kembali menyerang Gaza;
@neohistoria_id Lebih baik Netizen Indonesia netral saja. Konflik Yahudi vs Palestina sudah 100 thn lebih (1919-sekarang). Doakan perdamaian Israel &amp  Palestina. Semoga Mereka bisa kerjasama &amp  bersatu. Kita mau kenalkan Pancasila ke TimTeng. Saatnya Kita pengaruhi Mereka.;shine44441
abis misuh di platform sebelah ttg konflik palestina terus overwhelming;
@SeriDianawati Problem: Situasi global tidak menentu;
Serukan bantuan dukungan terhadap Palestina berupa penyuaraan aspirasi;
@kasa_kain88079 @Greschinov As we see negara2 timteng emang hobi bgt perang Entah kenapa dan bagaimna ajaran disana kita kan gak tau makanya negara2 maju dan eropa jelas pasti intervensi karena ini nyangkut ama keamanan yg sudah2 seperti kejadian 9/11 Soal israel palestina mah emg wilayah konflik sejak lama;friendofsinnner
@AqalPadang @AzzamIzzulhaq ne orang jga sblum gencatan snjata saranin spya sandera palestina dibunuh sja semua biar gk gencatan dn terus konflik;TunggalWar51509
@Matth_Al @_mardial_ Setuju dalam tiap Doa juga gak cm konflik Israel-Palestina yg disebut tapi jg selalu memohon perdamaian dunia di semua daerah konflik. Thats it. Harusnya si TS mah colek gereja yang Pendetanya kotbah pake sneakers 10 juta sm arloji 50 jt;
@Harsarchjazz1 @hariankompas Geopolitik 2024 panas bos;
Kita harus bijak dalam menyikapi video satire tentang boikot produk akibat konflik Israel-Palestina. Mari kita tetap mendukung Palestina dengan caranya sendiri;
@nurfthenerd @triesaaa @convomfs Iyaa benerr wkwk suka banget ngebandingin sama israel-palestina. Padahal  genosida dari israel gaada hubungannya sama konflik agama. Tapi sama org islamophobic langsung dijadiin counter yg malah menjurus ke adu domba antar agama;
Beredar video satire soal boikot produk tertentu akibat konflik antara dan Palestina. Sebelumnya;
sekitar Rp 768 triliun. Meski begitu;
adil jika merek ini disalahkan. https://t.co/ehQWhQwoUC adalah perusahaan Indonesia yang tidak terkait dengan konflik di Timur Tengah. Mari kita tetap mendukung produk dalam negeri dan berjuang untuk perdamaian di Palestina.;teuku_handri
Saya sangat prihatin dengan konflik yang terjadi antara Israel dan Palestina. Semoga kedamaian segera terwujud di sana. Sementara itu;
Beredar video satire mengenai boikot produk akibat konflik Israel-Palestina. Sebelumnya;
Dari kemarin;
Indonesia mendukung two-state solution atau solusi dua negara sebagai cara untuk mengakhiri konflik. Yaitu solusi dua negara;
Palestina akan memikul dampak mengerikan akibat konflik jika tdk ada aksi nyata dr PBB. Utk itu Indonesia mendesak Dewan Keamanan PBB utk segera menghentikan konflik Palestina Israel dan krisis kemanusiaan di jalur gaza.  #StopKonflikIsraelPalestina https://t.co/HGipLbu4fK;Clara_Shinta99
Konflik antara Palestina dan Israel telah berlangsung selama beberapa dekade;
Konflik Palestina-Israel bukan konflik agama ;
@Saodah1234 Stop Konflik Israel Palestina;Tuhasani
Pemerintah Indonesia bersmaa PBB mendukung genjatan senjata dan aksi damai dalam menekan kedua belah pihak untuk menghentikan kekerasan dalam konflik Israel-Palestina. #StopKonflikIsraelPalestina https://t.co/LZhT9pnoXh;ApriliciaArifah
Pemerintah Indonesia menyuarakan keprihatinan terhadap konflik Israel-Palestina. #StopKonflikIsraelPalestina https://t.co/1YZ0NWW8GG;ApriliciaArifah
@aireen800 Harapan besar konflik Israel-Palestina di hentikan;Tuhasani
@Saodah1234 Indonesia punya usul ttg penyelesaian konflik israel Palestina. #StopKonflikIsraelPalestina;aireen800
Pemerintah Indonesia berperan aktif wujudkan perdamaian dunia dengan menghimpun mobilisasi masyarakat Internasional tuk mengecam kekerasan konflik Israel-Palestina dan mendukung perdamaian. Presiden Jokowi menegaskan Tindak kekerasan harus dihentikan.  #StopKonflikIsraelPalestina https://t.co/7seSb4bhg7;catatankaqihati
Indonesia aktif dalam perdamaian dunia.  Dalam konflik Israel-Palestina;
Menteri Luar Negeri Indonesia menyampaikan bahwa RI mendukung Two State Solution Untuk akhiri Konflik Politik dan Kemanusiaan Israel-Palestina. Kedua Negara ini harus hidup rukun dan damai. Pasti akan terasa indah dunia ini.  #StopKonflikIsraelPalestina   https://t.co/Yeq9dvQN6o https://t.co/paengtsXEN;Tuhasani
STOP WAR!  Perang sangat merugikan kedua belah pihak. Pemerimtah Indonesia keberatan atas pelanggaran HAM yg terjadi selama konflik Israel-Palestina.  Komisi 1 DPR RI sentil peran PBB dalam konflik tersebut. #StopKonflikIsraelPalestina https://t.co/k3GUpUXHcb;catatankaqihati
Konflik Palestina-Israel bukan konflik agama ;
Masyarakat internasional harus satu suara ini;
Tegas dan jelas Indonesia sangat menyayangkan dan sangat prihatin atas konflik Israel-Palestina. Karena itu Indonesia tidak pernah henti-hentinya menyuarakan perdamaian #StopKonflikIsraelPalestina https://t.co/Gs2mOZGmFK;Tuhasani
STOP....! AGRESI ISRAEL DI PALESTINA..!  Menteri Luar Negeri Republik Indonesia Retno Lestari Priansari Marsudi :  Sikap Indonesia Mengutuk Aksi Ilegal Israel di wilayah Palestina. Two-State Solution Sebagai Cara Mengakhiri Konflik.  Menlu Retno Dalam Rapat Sidang Darurat Majelis… https://t.co/JYsGawk5U5;KutaReal_X
𝑺𝑻𝑶𝑷𝑷... 𝑷𝑬𝑹𝑨𝑵𝑮 𝑰𝑺𝑹𝑨𝑬𝑳 𝑷𝑨𝑳𝑬𝑺𝑻𝑰𝑵𝑨..!  NU dan Muhammadiyah Sepakat Dan Satu Sikap Bahwa Konflik Palestina Dan Israel Adalah Permasalahan Politik Dan Kemanusiaan.  Konflik Antara Palestina dan Israel Telah Berlangsung Beberapa Dekade;
Pemerintah Indonesia berkomitmen menjaga perdamaian dunia. Pemerintah Indonesia menyuarakan keprihatinan terhadap konflik Israel-Palestina. #StopKonflikIsraelPalestina https://t.co/EKqTSv99Yx;catatankaqihati
Majelis Umum PBB perlu menyerukan penghentian pemindahan warga sipil Gaza dan melindungi warga sipil Gaza. Selain itu;
Pemerintah Indonesia keberatan ke PBB atas serangan Israel ke Palestina Komisi 1 sentil PBB dalam konflik tsb.  #StopKonflikIsraelPalestina https://t.co/m1aXYmQyDG;riegosee
"Indonesia menyuarakan keprihatinannya, atas peningkatan eskalasi konflik antara Palestina dan Israel. Indonesia sangat prihatin dengan meningkatnya eskalasi konflik antara Palestina-Israel.  #StopKonflikIsraelPalestina https://t.co/qH5NBrlL4V"";Saodah1234";
Menteri Luar Negeri Republik Indonesia (Menlu RI) Retno Lestari Priansari Marsudi menyatakan sikap Indonesia yang mengutuk aksi ilegal Israel di wilayah Palestina. Dia juga menyampaikan terkait two-state solution sebagai cara mengakhiri konflik.  #StopKonflikIsraelPalestina https://t.co/dZTobI1Kv6;Saodah1234
Indonesia mendesak Dewan Keamanan Perserikatan Bangsa Bangsa segera bertindak untuk menghentikan konflik Israel Palestina dan krisis kemanusiaan di jalur Gaza  #StopKonflikIsraelPalestina https://t.co/W7FSFh4p7y;Saodah1234
Indonesia bersama PBB mendukung gencatan senjata dan aksi damai dalam menekan kedua belah pihak untuk menghentikan kekerasan dalam konflik Israel Palestina.  #StopKonflikIsraelPalestina https://t.co/pewCn0baoj;Saodah1234
Menlu RI Retno Lestari Priansari Marsudi menyatakan sikap Indonesia yang mengutuk aksi ilegal Israel di wilayah Palestina. Dia juga menyampaikan terkait two-state solution sebagai cara mengakhiri konflik. #StopKonflikIsraelPalestina  https://t.co/mqF1gnWIsU https://t.co/ACsLcrcUDu;Hansunriko
Indonesia mendesak Dewan Keamanan PBB segera bertindak untuk menghentikan konflik Israel-Palestina dan krisis kemanusiaan di Jalur Gaza. Indonesia juga mengecam keras berlanjutnya agresi militer Israel terhadap warga sipil di Gaza.  #StopKonflikIsraelPalestina https://t.co/1rmKDhgnCu;Hansunriko
Menteri Luar Negeri Republik Indonesia (Menlu RI) Retno Lestari Priansari Marsudi menyatakan sikap Indonesia yang mengutuk aksi ilegal Israel di wilayah Palestina.   Dia juga menyampaikan terkait two-state solution sebagai cara mengakhiri konflik.  #StopKonflikIsraelPalestina https://t.co/eS94zk90HO;Setengah_Hatie
Gus Yahya mengajak masyarakat internasional untuk berperan aktif mencari penyelesaian yang adil dalam konflik Israel-Palestina sesuai dengan hukum dan kesepakatan internasional. #StopKonflikIsraelPalestina  https://t.co/4qKW5EHAZj;Setengah_Hatie
Konflik antara Palestina dan Israel telah berlangsung selama beberapa dekade;
Indonesia mendukung two-state solution atau solusi dua negara sebagai cara untuk mengakhiri konflik. Yaitu solusi dua negara;
Palestina akan memikul dampak mengerikan akibat konflik jika tdk ada aksi nyata dr PBB. Utk itu Indonesia mendesak Dewan Keamanan PBB utk segera menghentikan konflik Palestina Israel dan krisis kemanusiaan di jalur gaza.  #StopKonflikIsraelPalestina https://t.co/khB3EwnyIP;aireen800
Parlemen Indonesia tengah upayakan resolusi selesaikan konflik Palestina Israel dan  Pemerintah Indonesia pasti mendukung kemerdekaan Palestina dengan sudah mengontak banyak ketua Parlemen untuk bikin resolusi bersama.   #StopKonflikIsraelPalestina  https://t.co/c3yk6xO6sh;Setengah_Hatie
Konflik antara Palestina dan Israel yg telah berlangsung selama bbrp dekade;
Komisi I DPR RI mengkritik PBB yg tidak tegas mengatasi konflik Palestina dan Israel.   Komisi I pun sudah memberi mandat ke Pemerintah untuk terus lantang menyuarakan kemerdekaan Palestina.  #StopKonflikIsraelPalestina https://t.co/eEq1KSsZBm;aireen800
Ketua Komisi I DPR RI mengkritik Perserikatan Bangsa-Bangsa yang tidak tegas mengatasi konflik Palestina dan Israel.   Keberatan pemerintah Indonesia atas pelanggaran hak asasi manusia yang terjadi selama konflik Israel-Palestina.  #StopKonflikIsraelPalestina https://t.co/t2OEo1Ew9d;Hansunriko
@DrLoupis kemarin aku masih setuju penyelesaian konflik dengan pembentukan 2 negara;
@MelodiAsyik Kenapa pada palestina Karena 1. Di palestina itu ada al Quds atau masjid Al Aqsa  Situs umat Islam Yaitu kiblat ke 2 umat Islam setelah ka'bah di  Mekkah  Maka wajib hukumnya seluruh umat Islam di dunia;
Kalau mereka berpikir logis;
"@Budi_2232 @Ezharhap Konflik Saudi-Yaman jauh lbh buruk drpd konflik Israel-Palestina, tp gak ada yg sebut Saudi Penjajah"" atau ""Free Yaman""  Hanya di konflik yg menyangkut Israel sj ada sebutan ""Israel Penjajah"" &amp  ""Free Palestine""  Berarti ini murni krn sentimen benci Yahudi, bkn alasan kemanusiaan"";MelodiAsyik";
@Budi_2232 @Ezharhap Seandainya Inggris membagi Palestina menjadi Palestina &amp  Negara-X (selain Negara Yahudi);
Membaca fiksi tentang konflik Suriah sekaligus berdonasi untuk Palestina.  Terima kasih @PenerbitMizan https://t.co/lb3UcmaW0F;idabizars
1998-2002 Konflik terus terjadi. srael terus menggempur Palestina. Sebuah usul perdamaian saat ini adalah peta menuju perdamaian yang diajukan oleh Empat Serangkai Uni Eropa;
@zanzibarix nah dari sini konflik di mulai.  1916 M Ketika pecah Perang Dunia I;
Mayoritas pendukung Palestina itu pasti beragama Islam  Mereka mendukung Palestina bkn krn simpati pd Palestina;
Hamas adalah organisasi politik dan militer Palestina yang berperan aktif dalam konflik Israel-Palestina. Hammas melalui pemilu telah diakui oleh rakyat Gaza dan menjadi otoritas resmi yang mendominasi Jalur Gaza saat ini.  https://t.co/9s1PHVZGNP;NuriyatSuluk
@mas_soem Lah emang di sini mayoritasnya Islam;
@JendralKepitin9 @Valhallaah @DivHumas_Polri @ListyoSigitP Dijajah pake lo;
@DecWangiDollar @SammiSoh Konflik palestina bukan konflik agama;
HUBUNGAN SEGITIGA: BLINKEN - NETANYAHU - ABBAS  Menlu AS ke  Presiden Palestina Mahmoud Abbas bicara konflik di Gaza dan langkah-langkah untuk meningkatkan keamanan ...  Pejuang Palestine Brigade Al-Qosam;
TikTok platform berbagi video saat ini tengah menghadapi tekanan terkait konflik Israel dan Palestina. Tiktok mendapati banyak tudngan termasuk di Indonesia. https://t.co/swIGN9CAOz;detikinet
Jakarta - Menteri Pertahanan Prabowo Subianto mengatakan Pemerintah Indonesia tengah memikirkan upaya untuk menambah bantuan kepada korban konflik di Gaza;
SATU-SATUNYA SOLUSI JIHAD DAN KHILAFAH  Presiden Amerika Serikat (AS) Joe Biden mengatakan solusi dua negara merupakan cara yang tepat untuk menyelesaikan konflik Israel dan Palestina. Hal tersebut dia ungkapkan lewat sebuah cuitan di X (dulu Twitter).-- CNN Indonesia https://t.co/nLbYJWjmhs;bagas_bai
[Light 6: Dominasi Amerika Serikat dalam Konflik Israel-Palestina]  Halo;
Kita sudah mengetahui kalau Presiden Jokowi dengan tegas menekankan beberapa poin seperti gencatan senjata;
Kira-kira;
Halo gais;
Peran Indonesia Era Jokowi dalam Konflik Palestina-Israel  --- A thread --- https://t.co/eNNjC8cDAd;txtfromIR
@PanjayoT30342 @bnsphrxyzzz Ini juga nih yang suka obok obok agama;
Jakarta - Menteri Pertahanan Prabowo Subianto mengatakan Pemerintah Indonesia tengah memikirkan upaya untuk menambah bantuan kepada korban konflik di Gaza;
@sangiranflying Inilah kenyataan yg sebenarnya  Seandainya yg berdiri bukan negara Israel;
@Budi_2232 @Ezharhap Inilah kenyataan yg sebenarnya  Seandainya yg berdiri bukan negara Israel;
Ngasih presentasi soal pentinggnya sejarah tz ambil studi kasus soal konflik Palestina-Israel cuma ambil bagian kenapa penyerangan 7 okt itu terjadi;
Baru nonton Sweet Home 2. Lalu;
Mantapp deh Produk Nasional Untuk Gaza Alhamdulillah Le Mineral memberikan bukti nyata dukungan terhadap konflik yang terjadi di Palestina  Mari bantu Palestina https://t.co/7SLVc9gnCE;sholehah652
Dunia masih belum peduli dengan kekejaman yang dilakukan oleh zionis;
Tata Cara Shalat Ghaib untuk Korban Konflik di Palestina  Spiritual;
Jakarta - Menteri Pertahanan Prabowo Subianto mengatakan Pemerintah Indonesia tengah memikirkan upaya untuk menambah bantuan kepada korban konflik di Gaza;
Produk Nasional Untuk Gaza Alhamdulillah Le Mineral memberikan bukti nyata dukungan terhadap konflik yang terjadi di Palestina https://t.co/A2b8ULbaHS;erlanezra48
Warga Bogor bernama Beni mendaftarkan diri sebagai relawan kemanusiaan untuk berangkat ke Palestina karena hatinya tergerak melihat konflik di sana. https://t.co/IrWcCmD3Ds;kompascom
banyak orang indo masih aja sampe sekarang bawa agama di konflik palestina... bunch of weirdos;junkuromi
Peristiwa di Gaza telah membuktikannya.  Tidak ada keraguan bahwa Iran beserta Milisinya di Irak;
Jakarta - Menteri Pertahanan Prabowo Subianto mengatakan Pemerintah Indonesia tengah memikirkan upaya untuk menambah bantuan kepada korban konflik di Gaza;
Maraknya berita tentang perang Palestina dengan Israel Perang Palestina dengan Israel merujuk pada konflik berkepanjangan antara Israel dan sejumlah kelompok Palestina https://t.co/wibjq0yiH5;retizen_id
Menlu OKI Serukan Resolusi Internasional Untuk Konflik Israel-Palestina  https://t.co/HBqZUmCqrM;MediaPatronLoka
#SisiPeneliti  Israel dan Hamas sepakat untuk memperpanjang gencatan senjata di jalur Gaza. Apakah proses ini bisa diartikan sebagai potensi penyelesaian konflik? Yuk simak penjelasan dari peneliti CSIS;
Juru Bicara Kementerian Luar Negeri Wang Wenbin mengatakan China terus menyuarakan dialog sebagai cara terbaik menyelesaikan konflik Palestina dan Israel.https://t.co/y6FC4LqijW;ANTARABengkulu
@Hilmi28 Situasi konflik selalu menantang.biarkan saja pihak berwenang yg menanganinya;
MAGRIB EDISI KHUSUS  Telah sampai kita di penghujung tahun 2023. Kali ini MAGRIB hadir dengan satu tema: Palestina. Para penulis terpilih merespon peristiwa konflik di tanah Gaza dengan berbagai genre sastra;
Dalam sejarah konflik Arab-Israel;
@taosophie Kalau bisa juga bendera Palestina dilarang dalam situasi saat ini;
kaum munafik hipokrit akun semua sosial media digembok macam tak mau berperan aktif dalam konflik palestina. nanti betulan di tinggal propertinya disana dijadikan markas psikologi #psikologi #psychology terus jizyah di terapkan disana.;khadafi157
@simpangsayur Semua penting;
Dalam sebuah wawancara dengan televisi publik Spanyol;
meningkatkan mediasi diplomatik;
menghentikan konflik ini. Kita harus tetap optimis bahwa kedamaian akan datang;
Kita 1000% membela rakyat Palestina;
